,Make,Model,year,CC,distance,transmission,color,price
1727,Chevrolet,Lanos,2012,1500,97000,manual,Cyan,100000
1728,Daewoo,Lanos,1997,1600,200000,manual,Silver,65000
1729,Hyundai,Verna,2014,1600,76000,manual,Blue,118000
1730,Ford,Focus,2014,1600,158000,automatic,Black,190000
1731,Chevrolet,Lanos,2009,1500,200000,manual,Dark red,120000
1732,Toyota,Corolla,2014,1600,170000,automatic,White,259000
1733,Toyota,Corolla,2019,1600,60000,automatic,Silver,350000
1734,Geely,Emgrand 7,2017,1500,150000,manual,Black,110000
1735,Hyundai,Verna,2018,1600,77000,automatic,Gray,175000
1736,Hyundai,Verna,2011,1600,170000,automatic,Light grey,120000
1737,Daewoo,Lanos,2006,1500,222000,manual,Silver,82000
1738,Chevrolet,Aveo,2011,1500,170000,manual,Red,108000
1739,Daewoo,Lanos 2,2005,1600,230000,manual,Gold,85000
1740,Mitsubishi,Lancer,2016,1600,160000,automatic,Dark red,220000
1741,Chevrolet,Lanos,2014,1600,190000,manual,Dark red,105000
1742,Daewoo,Lanos,2010,1500,200000,manual,White,85000
1743,Skoda,Octavia A4,2007,1600,300000,automatic,Black,150000
1744,Skoda,Octavia A5,2006,1600,180000,automatic,Gold,155000
1745,Geely,Emgrand 7,2014,1600,200000,manual,Silver,82000
1746,Chevrolet,Lanos,2009,1600,173000,manual,Dark blue,90000
1747,Haima,Family,2009,1600,88000,automatic,Silver,100000
1748,Seat,Ibiza,2020,1600,47000,automatic,Blue,315000
1749,Chevrolet,Optra,2006,1600,260000,automatic,Silver,125000
1750,Subaru,Impreza,2007,1600,165000,manual,Black,130000
1751,Renault,Logan,2010,1600,210000,manual,Silver,88000
1752,Opel,Astra,2013,1600,182000,automatic,Black,200000
1753,Byd,L3,2016,1500,200000,automatic,Silver,125000
1754,Byd,F3,2014,1600,120000,automatic,Dark red,135000
1755,Chevrolet,Aveo,2009,1500,120000,automatic,Black,130000
1756,Geely,Emgrand 7,2013,1600,200000,manual,Gold,90000
1757,Nissan,Sunny,2008,1600,306000,automatic,Dark blue,121000
1758,Chevrolet,Aveo,2009,1600,170000,manual,Dark red,100000
1759,Hyundai,Accent,1999,1500,170000,manual,White,79000
1760,Hyundai,Accent RB,2011,1600,140000,automatic,Black,163000
1761,Nissan,Sunny,2018,1500,75000,automatic,Red,185000
1762,Chery,Envy,2017,1500,166000,manual,Black,110000
1763,Opel,Vectra,2008,1600,100000,automatic,Silver,185000
1764,Chevrolet,Lanos,2014,1500,154000,manual,Red,115000
1765,Chevrolet,Lanos,2013,1500,180000,manual,Black,93000
1766,Toyota,Corolla,2010,1600,167000,automatic,White,220000
1767,Hyundai,Verna,2006,1500,290000,manual,Red,80000
1768,Chevrolet,Optra,2014,1500,200000,automatic,Silver,160000
1769,Chery,Envy,2017,1500,178000,manual,Black,112000
1770,Volkswagen,Passat,2008,1600,153000,automatic,Black,210000
1771,Chevrolet,Optra,2008,1600,321500,automatic,Black,110000
1772,Chevrolet,Optra,2009,1600,147000,manual,Gold,125000
1773,Kia,Cerato,2012,1600,98000,automatic,Black,260000
1774,Skoda,Octavia A7,2014,1600,130000,automatic,Dark red,247000
1775,Seat,Ibiza,2015,1600,134000,automatic,Light grey,185000
1776,Chevrolet,Lanos,2012,1600,85000,manual,Dark red,108000
1777,Fiat,Tempra,1994,1600,165000,manual,White,62000
1778,BMW,320,2006,1600,120000,automatic,Black,210000
1779,Kia,Rio,2013,1400,110000,automatic,Light grey,230000
1780,BMW,316,2014,1600,175000,automatic,Black,350000
1781,Opel,Insignia,2014,1600,111000,automatic,Purple,285000
1782,Nissan,Sunny,2007,1600,85000,automatic,Silver,150000
1783,Mitsubishi,Lancer,2014,1600,250000,automatic,Red,190000
1784,Speranza,A516,2008,1600,183000,manual,Silver,75000
1785,Kia,Cerato,2010,1600,188000,automatic,Black,183000
1786,Toyota,Echo,2000,1600,160000,automatic,Dark green,93000
1787,Kia,Rio,2017,1400,45000,automatic,Black,240000
1788,Speranza,A516,2012,1600,150000,manual,Silver,95000
1789,Renault,Logan,2016,1600,170000,manual,Dark red,120000
1790,Mitsubishi,Lancer,2015,1600,90500,automatic,Gray,245000
1791,Chevrolet,Optra,2010,1600,161000,automatic,Dark red,143000
1792,Hyundai,Verna,2006,1500,150000,manual,Cyan,85000
1793,Mitsubishi,Lancer,1998,1500,235000,automatic,Dark blue,105000
1794,Hyundai,Elantra AD,2019,1600,93000,automatic,Silver,320000
1795,Chevrolet,Aveo,2013,1500,150000,automatic,Red,130000
1796,Geely,Ck,2010,1600,110000,automatic,Black,68000
1797,Opel,Astra,2014,1600,190000,automatic,Brown,195000
1798,Mitsubishi,Lancer,2017,1600,77000,automatic,Silver,255000
1799,Renault,Logan,2011,1600,160000,manual,Silver,97000
1800,Mazda,3 || Mazda 3,2008,1500,200000,automatic,Dark red,120000
1801,Mitsubishi,Lancer,2014,1600,130000,automatic,Dark red,190000
1802,Speranza,A516,2008,1600,150000,manual,Silver,80000
1803,Renault,Megane,2005,1600,204000,automatic,Black,115000
1804,Kia,Sephia,2001,1500,250000,automatic,Black,70000
1805,Hyundai,Elantra,2010,1600,200000,automatic,Silver,185000
1806,Chevrolet,Aveo,2013,1600,170000,automatic,Black,142000
1807,Chevrolet,Aveo,2013,1500,170000,automatic,Black,120000
1808,Nissan,Sentra,2015,1600,176000,automatic,Black,250000
1809,Daewoo,Nubira 2,2006,1600,130000,manual,Blue,86000
1810,Kia,Rio,2015,1400,54000,automatic,Dark red,275000
1811,Hyundai,Verna,2010,1600,200000,automatic,Gray,95000
1812,Mitsubishi,Lancer,2015,1600,64000,automatic,Red,250000
1813,Hyundai,Accent,2011,1600,120000,automatic,Cyan,170000
1814,BMW,320,2008,1600,190000,automatic,Dark blue,235000
1815,MG,ZS,2020,1600,20000,automatic,Dark red,290000
1816,Nissan,Sunny,2017,1500,63000,automatic,Black,175000
1817,Speranza,M11,2010,1600,130000,manual,Silver,110000
1818,Mitsubishi,Attrage,2014,1600,160000,manual,Black,100000
1819,Hyundai,Accent,2010,1600,192000,manual,Cyan,125000
1820,Geely,Emgrand 7,2018,1500,98000,manual,White,125000
1821,Hyundai,Verna,2018,1600,78000,manual,Black,165000
1822,Proton,Waja,2005,1600,190000,manual,Gold,55000
1823,Renault,Logan,2010,1600,125000,manual,Silver,94000
1824,Speranza,A516,2009,1600,236000,automatic,Silver,70000
1825,Geely,Emgrand 7,2015,1500,198000,manual,Light grey,105000
1826,Nissan,Sunny,2011,1600,138000,automatic,Gray,145000
1827,Byd,F3,2012,1600,200000,manual,Silver,95000
1828,Mitsubishi,Lancer,2013,1600,150000,automatic,Silver,210000
1829,Kia,Cerato,2009,1600,120000,automatic,Cyan,175000
1830,Hyundai,Elantra,2009,1600,130000,automatic,Eggplant,165000
1831,Mitsubishi,Lancer,2016,1600,108000,automatic,Black,235000
1832,Kia,Cerato,2019,1600,55000,automatic,Black,295000
1833,Opel,Vectra,2007,1600,150000,manual,Silver,137000
1834,Hyundai,Elantra HD,2019,1600,45000,automatic,Gray,270000
1835,Seat,Ibiza,1994,1600,220000,manual,Green,75000
1836,Geely,Emgrand 7,2014,1500,95000,manual,Light grey,120000
1837,Daewoo,Lanos 2,2002,1500,110000,manual,Red,77000
1838,Mitsubishi,Lancer,2008,1600,130000,automatic,Silver,168000
1839,Hyundai,Elantra,2008,1600,280000,manual,Silver,100000
1840,Kia,Cerato,2010,1600,235000,automatic,Eggplant,200000
1841,Chevrolet,Optra,2018,1600,74000,automatic,Dark red,200000
1842,Daewoo,Lanos,2001,1500,228000,manual,Silver,62000
1843,Chevrolet,Cruze,2010,1600,200000,automatic,Silver,125000
1844,Chevrolet,Aveo,2018,1600,115000,automatic,Red,180000
1845,Kia,Cerato,2017,1600,160000,automatic,Silver,220000
1846,Byd,L3,2016,1600,174000,automatic,Silver,127000
1847,Volkswagen,Passat,2007,1600,168000,automatic,Gold,195000
1848,Hyundai,Verna,2016,1600,125000,automatic,Black,170000
1849,Byd,F3,2016,1600,130000,manual,Black,140000
1850,Speranza,A516,2008,1600,175000,manual,Cyan,72000
1851,Opel,Astra,2005,1600,250000,automatic,Silver,76000
1852,Proton,Gen 2,2008,1600,210000,automatic,Orange,65000
1853,Hyundai,Elantra HD,2017,1600,180000,automatic,Black,220000
1854,Toyota,Corolla,2009,1600,155000,automatic,Silver,160000
1855,Speranza,A516,2008,1600,265000,manual,Gray,65000
1856,Proton,Gen 2,2007,1600,80000,automatic,Cyan,100000
1857,Volkswagen,Passat,2002,1600,250000,manual,Silver,100000
1858,Daewoo,Lanos,1999,1500,200000,manual,Dark green,75000
1859,Nissan,Sunny,2018,1600,80000,automatic,Champagne,205000
1860,Chevrolet,Aveo,2014,1600,165000,automatic,Black,150000
1861,Mitsubishi,Lancer,2009,1600,200000,automatic,Light grey,140000
1862,Chevrolet,Aveo,2013,1500,250000,automatic,Red,137000
1863,Mitsubishi,Lancer,2008,1600,200000,automatic,Black,160000
1864,Byd,F3,2020,1500,52000,manual,Light grey,170000
1865,Hyundai,Verna,2014,1600,107000,manual,Gray,120000
1866,Mitsubishi,Lancer,2015,1600,135000,automatic,Silver,228000
1867,Daewoo,Nubira 2,2007,1600,170000,automatic,Black,105000
1868,Peugeot,301,2016,1600,116000,manual,Petroleum,145000
1869,Mitsubishi,Lancer,2008,1600,116000,automatic,Red,195000
1870,Hyundai,Elantra MD,2013,1600,260000,automatic,White,225000
1871,Daewoo,Lanos 2,2001,1500,200000,manual,White,70000
1872,Byd,F3,2020,1500,155000,manual,Red,170000
1873,Chevrolet,Optra,2019,1600,56000,automatic,Light grey,200000
1874,Nissan,Sunny,2009,1600,185000,manual,Silver,105000
1875,Peugeot,301,2015,1600,130000,automatic,White,170000
1876,Geely,Emgrand 7,2017,1600,90000,manual,Blue,120000
1877,Renault,Megane,2020,1600,35000,automatic,Dark blue,260000
1878,Byd,F3,2019,1500,110000,manual,Silver,170000
1879,Speranza,A516,2012,1600,59000,manual,White,87000
1880,Geely,Emgrand 7,2018,1500,35000,manual,Silver,150000
1881,MG,ZS,2019,1500,25000,automatic,White,320000
1882,Hyundai,Verna,2004,1600,360000,manual,Silver,75000
1883,Hyundai,Sonata,1998,1600,130000,automatic,Blue,65000
1884,Renault,Logan,2016,1600,78000,manual,Gold,139000
1885,Kia,Cerato,2010,1600,260000,automatic,Orange,185000
1886,Speranza,M11,2012,1600,138000,manual,Dark red,85000
1887,Chevrolet,Aveo,2014,1600,170000,manual,Black,120000
1888,Renault,Logan,2015,1600,110000,manual,Blue,125000
1889,Kia,Cerato,2013,1600,180000,automatic,Black,228000
1890,Byd,F3,2015,1500,200000,automatic,Mocha,130000
1891,Geely,Emgrand 7,2018,1500,115000,manual,Light grey,120000
1892,Daewoo,Lanos,1999,1500,250000,manual,Dark blue,75000
1893,MG,5,2020,1600,25000,automatic,Dark red,255000
1894,Hyundai,Elantra,2008,1600,149000,automatic,Light grey,155000
1895,Renault,Fluence,2010,1600,93000,automatic,Light grey,135000
1896,Daewoo,Lanos 2,2006,1600,250000,manual,Dark red,80000
1897,Chevrolet,Aveo,2010,1600,130000,manual,Silver,110000
1898,Renault,Megane,2005,1600,190000,automatic,Silver,113000
1899,Chevrolet,Aveo,2013,1600,130000,manual,Light grey,150000
1900,Byd,F3,2018,1500,40000,manual,Black,170000
1901,Chevrolet,Optra,2014,1500,79901,manual,Silver,150000
1902,Chevrolet,Optra,2018,1500,35000,automatic,Black,218000
1903,Fiat,Siena,2001,1400,118000,manual,Dark red,57000
1904,Kia,Sephia,1995,1500,260000,manual,Dark blue,55000
1905,Mitsubishi,Attrage,2014,1600,71000,automatic,Silver,105000
1906,Toyota,Corolla,2009,1600,200000,automatic,Silver,220000
1907,Nissan,Sunny,2009,1600,110000,automatic,Silver,145000
1908,Fiat,Dogan,1996,1600,150000,manual,Light grey,70000
1909,Proton,Persona,2014,1600,230000,automatic,Gray,155000
1910,Proton,Waja,2006,1600,250000,automatic,Red,85000
1911,Renault,Megane,2008,1600,321000,automatic,Light grey,100000
1912,Chevrolet,Aveo,2013,1600,200000,manual,Silver,113000
1913,Renault,Logan,2016,1600,120000,automatic,Silver,157000
1914,Hyundai,Verna,2010,1600,150000,manual,White,90000
1915,Daewoo,Lanos,2008,1500,168000,manual,Black,90000
1916,Fiat,Shahin,2001,1400,75000,manual,Red,46000
1917,Kia,Cerato,2010,1600,170000,automatic,Red,171000
1918,Renault,Logan,2017,1600,142000,automatic,Black,150000
1919,Fiat,Siena,2004,1400,215000,manual,Light grey,52000
1920,Hyundai,Elantra,2008,1600,240000,automatic,Black,160000
1921,Hyundai,Elantra MD,2012,1600,150000,automatic,Red,220000
1922,Chevrolet,Cruze,2010,1600,130000,automatic,Silver,110000
1923,Volkswagen,Passat,2006,1600,137000,automatic,Black,215000
1924,Mitsubishi,Lancer,2006,1600,200000,automatic,Dark blue,151000
1925,Hyundai,Verna,2012,1600,200000,automatic,Light grey,110000
1926,Mitsubishi,Lancer,2003,1600,150000,automatic,Silver,150000
1927,Hyundai,Elantra AD,2020,1600,39000,automatic,Silver,325000
1928,Skoda,Octavia A4,2008,1600,55000,automatic,Dark green,130000
1929,Jac,B15,2011,1600,147000,manual,Blue,100000
1930,Renault,Logan,2010,1600,83000,manual,Black,80000
1931,Daewoo,Lanos,2002,1500,200000,manual,Red,68000
1932,Hyundai,Accent,2018,1600,74000,automatic,Blue,245000
1933,Fiat,Siena,2002,1400,200000,manual,Dark blue,45000
1934,Geely,Emgrand 7,2015,1600,95000,manual,Black,115000
1935,Fiat,Shahin,2003,1400,60000,manual,Gold,47000
1936,Nissan,Sunny,2020,1500,75000,automatic,Champagne,223000
1937,Chevrolet,Optra,2017,1500,150000,automatic,Black,180000
1938,Chevrolet,Lanos,2014,1500,43000,manual,Black,155000
1939,Hyundai,Avante,2005,1600,160000,automatic,White,160000
1940,Chery,A11,2007,1600,152000,manual,Champagne,53000
1941,Hyundai,Elantra MD,2016,1600,150000,automatic,Gold,230000
1942,Renault,Megane,2006,1500,150000,automatic,Light grey,110000
1943,Fiat,Tipo,2019,1600,60000,automatic,Black,275000
1944,Hyundai,Verna,2013,1500,150000,manual,White,115000
1945,Byd,F3,2020,1600,90000,manual,Blue,170000
1946,Nissan,Sunny,2014,1500,130000,automatic,Black,170000
1947,Chevrolet,Lanos,2010,1500,200000,manual,Gray,85000
1948,Geely,Emgrand 7,2015,1600,57000,manual,Silver,122000
1949,Peugeot,405,1997,1600,85000,manual,White,65000
1950,Mercedes,C 180,2009,1600,112000,automatic,Silver,325000
1951,Hyundai,Verna,2018,1600,114000,manual,Silver,145000
1952,Hyundai,Accent,2005,1500,100000,manual,Dark red,65000
1953,Fiat,Petra,2003,1600,150000,manual,Dark green,50000
1954,Volkswagen,Passat,1997,1600,140000,automatic,Blue,143000
1955,Kia,Cerato,2013,1500,150000,automatic,Blue,205000
1956,Renault,Megane,2002,1600,200000,automatic,Gray,75000
1957,Chevrolet,Optra,2015,1600,127000,automatic,Gray,150000
1958,Volkswagen,Jetta,2010,1600,200000,automatic,Black,230000
1959,Hyundai,Accent RB,2012,1600,137000,manual,Red,155000
1960,Seat,Ibiza,2006,1400,288000,manual,Blue,110000
1961,Chevrolet,Lanos,2015,1500,214000,manual,Dark red,98000
1962,Renault,Logan,2016,1600,85000,automatic,Silver,143000
1963,Lada,Granta,2016,1600,30000,manual,Light grey,118000
1964,Proton,Gen 2,2010,1600,190000,manual,Silver,90000
1965,Renault,Logan,2019,1600,68000,automatic,Blue,200000
1966,Lada,Granta,2016,1600,200000,manual,Gray,80000
1967,Speranza,A516,2008,1500,156000,manual,Beige,73000
1968,Chevrolet,Lanos,2010,1500,200000,manual,Black,85000
1969,Renault,Megane,2006,1600,135000,automatic,Green,115000
1970,Chevrolet,Optra,2017,1600,72000,automatic,Gray,175000
1971,Speranza,A516,2010,1600,200000,manual,White,75000
1972,Kia,Cerato,2014,1600,66000,automatic,Light grey,310000
1973,Ford,Focus,2013,1600,200000,automatic,Red,220000
1974,Brilliance,FSV,2010,1600,200000,manual,Light grey,90000
1975,Hyundai,Verna,2013,1600,102000,automatic,Light grey,163000
1976,Hyundai,Elantra,2008,1600,100000,automatic,Silver,155000
1977,Daewoo,Lanos 2,2006,1500,170000,manual,Green,95000
1978,Renault,Logan,2016,1600,185000,manual,Champagne,120000
1979,Fiat,Shahin,2005,1400,95000,manual,Silver,42000
1980,Hyundai,Elantra MD,2015,1400,103000,automatic,Silver,238000
1981,Haima,M3,2018,1500,150000,manual,White,120000
1982,Renault,Megane,2000,1600,130000,automatic,Green,75000
1983,Renault,Logan,2015,1600,200000,automatic,Red,140000
1984,Daewoo,Nubira 2,2000,1500,244000,automatic,Gray,85000
1985,Volkswagen,Jetta,2010,1500,159000,automatic,Petroleum,220000
1986,Hyundai,Avante,2005,1600,300000,automatic,Black,170000
1987,Mitsubishi,Lancer,2006,1600,205000,automatic,Silver,125000
1988,Chevrolet,Aveo,2017,1500,150000,automatic,Black,167000
1989,Nissan,Sunny,2005,1600,190000,automatic,Silver,115000
1990,Kia,Cerato,2010,1600,200000,automatic,Red,180000
1991,Chevrolet,Optra,2006,1600,163000,automatic,Gold,120000
1992,Mazda,323,1997,1500,200000,automatic,Dark blue,65000
1993,Mitsubishi,Lancer,2017,1600,89000,automatic,Silver,265000
1994,Daewoo,Lanos,1999,1500,190000,manual,Blue,75000
1995,Daewoo,Lanos,2006,1500,250000,manual,Cyan,85000
1996,Geely,Emgrand 7,2014,1600,138000,manual,Black,85000
1997,Opel,Insignia,2017,1600,120000,automatic,Brown,330000
1998,Chevrolet,Lanos,2013,1600,133000,manual,Light grey,95000
1999,Chery,Arrizo 5,2019,1600,30000,automatic,White,185000
2000,Nissan,Sunny,2016,1500,42000,automatic,Light grey,140000
2001,Toyota,Corolla,2004,1600,250000,manual,Silver,155000
2002,Kia,Spectra,2002,1600,200000,automatic,Black,87000
2003,Nissan,Sunny,2015,1500,280000,automatic,Red,140000
2004,Opel,Vectra,2001,1600,125000,manual,Silver,110000
2005,Daewoo,Nubira 2,2008,1600,129000,automatic,Black,90000
2006,Nissan,Sunny,2015,1600,190000,automatic,Gray,130000
2007,Opel,Astra,2014,1600,100000,automatic,Light grey,190000
2008,Chevrolet,Optra,2008,1600,190000,automatic,Black,130000
2009,Kia,K8,2016,1600,88000,automatic,White,220000
2010,Hyundai,Elantra HD,2019,1600,65000,automatic,Silver,285000
2011,Kia,Cerato,2011,1600,96000,automatic,White,210000
2012,Chery,Arrizo 5,2020,1500,79000,automatic,Silver,220000
2013,Toyota,Corolla,2020,1600,105000,automatic,Black,300000
2014,Hyundai,Elantra AD,2018,1600,120000,automatic,Silver,285000
2015,Chevrolet,Lanos,2011,1600,195000,manual,Silver,94000
2016,Daewoo,Nubira 2,2005,1600,220000,manual,Green,80000
2017,Hyundai,Verna,2014,1600,124000,automatic,Gray,147000
2018,Chevrolet,Lanos,2012,1500,145000,manual,Silver,88000
2019,Hyundai,Verna,2008,1600,220000,manual,Black,85000
2020,Kia,Cerato,2010,1600,93000,automatic,Silver,250000
2021,Skoda,Octavia A4,1999,1600,250000,manual,Red,100000
2022,Nissan,Sunny,2019,1500,55000,automatic,Red,200000
2023,Mitsubishi,Lancer,2008,1600,200000,automatic,Black,145000
2024,Kia,Cerato,2006,1600,130000,automatic,Black,160000
2025,Hyundai,Elantra HD,2017,1600,71000,automatic,Silver,220000
2026,Hyundai,Verna,2010,1600,123000,manual,Silver,120000
2027,Geely,Maple,2009,1600,190000,manual,Silver,58000
2028,Hyundai,Avante,2003,1600,149000,automatic,Silver,155000
2029,Nissan,Sunny,2008,1600,142000,automatic,Dark red,160000
2030,Hyundai,Elantra HD,2017,1600,130000,automatic,Gray,230000
2031,Hyundai,Verna,2009,1600,97000,automatic,Gray,110000
2032,Kia,Cerato,2009,1600,120000,automatic,Cyan,170000
2033,Opel,Astra,2018,1600,172000,automatic,Brown,249000
2034,Mazda,3 || Mazda 3,2015,1600,165000,automatic,Red,250000
2035,Hyundai,Elantra HD,2019,1600,70000,automatic,Red,275000
2036,Chevrolet,Lanos,2010,1600,300000,manual,White,65000
2037,Daewoo,Leganza,2002,1600,267000,manual,Silver,65000
2038,Kia,Cerato,2011,1600,260000,automatic,Black,152000
2039,Kia,Cerato,2011,1600,114000,automatic,Gray,210000
2040,Hyundai,Verna,2011,1600,187000,automatic,Black,115000
2041,Toyota,Corolla,2012,1600,220000,automatic,Silver,230000
2042,BMW,316,2007,1600,130000,manual,Blue,225000
2043,BMW,316,2012,1600,112000,automatic,Silver,305000
2044,Nissan,Sunny,2019,1500,62000,automatic,Dark red,210000
2045,Hyundai,Elantra HD,2009,1600,195000,automatic,Purple,195000
2046,Byd,F3,2015,1600,83000,manual,Brown,147000
2047,Mitsubishi,Lancer,2016,1600,126000,automatic,White,230000
2048,Nissan,Sentra,2017,1600,109000,automatic,Black,240000
2049,Honda,Civic,2008,1600,130000,automatic,Silver,162000
2050,Hyundai,Verna,2010,1600,200000,manual,White,83000
2051,Hyundai,Verna,2013,1600,150000,manual,Light grey,115000
2052,Toyota,Yaris,2006,1600,41000,manual,Silver,140000
2053,Mazda,3 || Mazda 3,2017,1600,80000,automatic,Red,310000
2054,Honda,Civic,2013,1600,210000,automatic,Black,212000
2055,Toyota,Corolla,2008,1600,160000,automatic,Silver,172000
2056,Honda,Civic,2000,1500,200000,automatic,Olive,105000
2057,Kia,Spectra,2001,1600,190000,automatic,Silver,88000
2058,Byd,F3,2019,1500,150000,manual,Gray,130000
2059,Renault,Logan,2020,1600,51000,manual,Red,185000
2060,Volkswagen,Passat,2007,1600,156000,manual,Gray,155000
2061,Mitsubishi,Lancer,2016,1600,90000,automatic,Silver,233000
2062,Kia,Cerato,2005,1600,192000,automatic,Silver,145000
2063,Renault,Megane,2009,1600,200000,automatic,Black,145000
2064,Opel,Astra,2020,1400,63000,automatic,Gray,300000
2065,Peugeot,508,2015,1600,200000,automatic,Black,280000
2066,Chevrolet,Aveo,2011,1600,141000,manual,Silver,115000
2067,Geely,Emgrand 7,2015,1500,180000,manual,Dark red,105000
2068,Chevrolet,Aveo,2020,1500,28000,automatic,Silver,200000
2069,Ford,Focus,2016,1600,131000,automatic,Cyan,250000
2070,Proton,Persona,2012,1600,250000,automatic,Silver,150000
2071,Fiat,Punto evo,2008,1600,120000,manual,Gray,120000
2072,Byd,G3,2013,1600,45000,manual,Silver,135000
2073,Chevrolet,Lanos,2011,1500,180000,manual,Black,88000
2074,Byd,F3,2018,1500,121000,manual,Silver,140000
2075,Chevrolet,Lanos,2015,1500,165000,manual,Light grey,110000
2076,Lada,Granta,2016,1600,56000,automatic,Mocha,152000
2077,Honda,Civic,1991,1500,250000,automatic,Red,60000
2078,Skoda,Octavia A4,2004,1600,200000,manual,Gray,130000
2079,Daewoo,Lanos,2008,1500,170000,manual,Silver,78000
2080,Daewoo,Nubira 2,2007,1600,133000,manual,Black,105000
2081,Chevrolet,Aveo,2006,1600,170000,manual,Orange,88000
2082,Citroën,C4,2011,1600,147000,automatic,Dark blue,150000
2083,Skoda,Fantasia,2013,1400,144000,automatic,Silver,220000
2084,Skoda,Fantasia,2012,1600,82000,automatic,Gray,235000
2085,Kia,Spectra,2001,1500,250000,automatic,Black,100000
2086,Kia,Cerato,2015,1600,101000,automatic,White,270000
2087,Daewoo,Nubira 1,1997,1600,190000,manual,Black,70000
2088,Daewoo,Nubira 2,2008,1600,150000,manual,Black,92000
2089,BMW,316,1996,1600,220000,automatic,Silver,160000
2090,Daewoo,Nubira 2,2001,1600,200000,manual,White,70000
2091,Daewoo,Lanos,2001,1600,231000,manual,White,68000
2092,Chevrolet,Cruze,2014,1600,55000,automatic,Brown,195000
2093,Hyundai,Elantra,2009,1600,255000,automatic,Light grey,155000
2094,Renault,Logan,2016,1600,80000,automatic,Silver,127000
2095,Byd,F3,2015,1500,200000,manual,White,110000
2096,Hyundai,Elantra HD,2017,1600,130000,automatic,Light grey,195000
2097,Kia,Sephia,1999,1500,230000,manual,Red,53000
2098,Fiat,Tipo,2020,1400,90000,manual,Red,210000
2099,Mitsubishi,Lancer,2006,1600,250000,automatic,Silver,125000
2100,Geely,Emgrand 7,2017,1500,175000,manual,Silver,130000
2101,Hyundai,Verna,2014,1600,15600,automatic,Black,180000
2102,Haima,M3,2018,1600,85000,automatic,White,225000
2103,Geely,Emgrand 7,2014,1500,120000,manual,White,120000
2104,Ford,Escort,1998,1600,190000,manual,Blue,55000
2105,Nissan,Sunny,2011,1600,153000,automatic,Black,145000
2106,Fiat,Tempra,1994,1600,130000,manual,Silver,45000
2107,Kia,Cerato,2010,1600,190000,automatic,Light grey,185000
2108,Hyundai,Elantra HD,2017,1600,140000,automatic,Eggplant,190000
2109,Hyundai,Elantra MD,2016,1600,145000,automatic,Dark red,250000
2110,Seat,Ibiza,1999,1600,250000,manual,Yellow,80000
2111,Byd,F3,2014,1600,190000,automatic,Silver,115000
2112,Geely,Sparky,2006,1400,250000,manual,Dark red,40000
2113,Nissan,Sentra,2016,1600,155000,automatic,Dark red,230000
2114,Renault,Logan,2014,1600,75000,automatic,Dark red,120000
2115,Speranza,A516,2008,1600,65000,manual,Light grey,85000
2116,Daewoo,Nubira 2,2006,1600,119000,manual,Black,90000
2117,Chevrolet,Optra,2019,1600,60000,automatic,Light grey,210000
2118,Renault,Megane,2006,1600,118000,automatic,Black,125000
2119,Daewoo,Lanos,2005,1500,120000,manual,Dark red,82000
2120,Kia,Sephia,2001,1500,190000,automatic,Black,70000
2121,Hyundai,Avante,2011,1600,124000,automatic,Black,175000
2122,Peugeot,301,2019,1600,40000,automatic,Black,250000
2123,Hyundai,Verna,2015,1600,118000,manual,Silver,133000
2124,Kia,Rio,2014,1400,86000,automatic,Light grey,225000
2125,Hyundai,Excel,1998,1500,240000,manual,Gray,65000
2126,Chevrolet,Lanos,2011,1500,130000,manual,Silver,108000
2127,Daewoo,Nubira 1,1999,1600,170000,manual,Red,85000
2128,Nissan,Sunny,2011,1600,150000,automatic,Light grey,160000
2129,Skoda,Octavia A4,2006,1600,187000,automatic,Black,135000
2130,Nissan,Sunny,2008,1600,197000,automatic,Champagne,95000
2131,Mitsubishi,Lancer,2006,1600,200000,automatic,Dark red,110000
2132,Daewoo,Lanos 2,2000,1500,85000,manual,Petroleum,83000
2133,Daewoo,Nubira 1,1998,1500,100000,manual,Petroleum,69000
2134,Subaru,Impreza,2012,1600,170000,automatic,Dark blue,195000
2135,Hyundai,Elantra MD,2013,1600,125000,automatic,Bronze,235000
2136,Daewoo,Lanos 2,2006,1500,220000,manual,Cyan,95000
2137,Chevrolet,Optra,2006,1600,200000,automatic,White,95000
2138,Fiat,Shahin,2004,1600,130000,manual,White,43000
2139,Geely,Emgrand 7,2015,1600,140000,manual,Gray,115000
2140,Kia,Cerato,2017,1600,102000,automatic,Red,240000
2141,Lada,Granta,2020,1600,38000,manual,Red,160000
2142,Mitsubishi,Lancer,2008,1600,250000,automatic,Black,150000
2143,Hyundai,Verna,2013,1600,154000,manual,Black,120000
2144,Chevrolet,Aveo,2009,1500,52000,manual,Red,130000
2145,Ford,Focus,2013,1600,210000,automatic,Silver,160000
2146,Skoda,Octavia A4,2008,1600,200000,manual,Silver,130000
2147,Chery,Envy,2017,1500,120000,manual,Brown,105000
2148,Chevrolet,Aveo,2013,1600,113000,manual,Silver,125000
2149,Kia,Cerato,2011,1600,290000,automatic,Dark red,160000
2150,Mitsubishi,Lancer,2015,1600,132000,automatic,Light grey,220000
2151,Nissan,Sunny,2014,1500,130000,manual,Bronze,93000
2152,Chevrolet,Aveo,2009,1500,90000,manual,Light grey,120000
2153,Chevrolet,Optra,2020,1500,65000,automatic,Light grey,230000
